# G009 R2 k-way canonical reference merge candidate-affecting branch inventory delta review
# baseline_head	5fc4c7987bb2941f30a0eca0ca09d4e9e9edb28e
# baseline_manifest_source	HEAD:src/test/resources/org/apache/sysds/hops/fedplanner/placement/candidate-affecting-branches.tsv
# baseline_manifest_sha256	1aa4453133bd20d13290be4419e31ff022e2ca12f654655f9a935e29fbb56336
# final_working_tree_head	5fc4c7987bb2941f30a0eca0ca09d4e9e9edb28e
# baseline_NeutralPlacementGraphBuilder_sha256	82c5a72ba89ce5446901a7e08a4ec214e71176912f67e0bc3944b77d65c0b92c
# final_NeutralPlacementGraphBuilder_sha256	82c5a72ba89ce5446901a7e08a4ec214e71176912f67e0bc3944b77d65c0b92c
# baseline_CandidateClosureDependencies_sha256	8c36ee6dfb43aef988f9f8bbf7bb6cfe13f02b61b505016c03b37f8ce693ff7b
# final_CandidateClosureDependencies_sha256	8c36ee6dfb43aef988f9f8bbf7bb6cfe13f02b61b505016c03b37f8ce693ff7b
# baseline_NativePlacementContinuity_sha256	fbb28e3b11080b1db8917b8b7d973d05d548aa92ae337e0c8c5c8494708d621a
# final_NativePlacementContinuity_sha256	ead707f14789ee8411742c8c3acf3d68687c71f338df865631a232c52b7c0752
# baseline_CandidateSelections_sha256	dbebdac384ee5de8ce6d97e86e2876a99cda83852eb75c0d5c23ac74252ab1f6
# final_CandidateSelections_sha256	dbebdac384ee5de8ce6d97e86e2876a99cda83852eb75c0d5c23ac74252ab1f6
# baseline_RelocationSelections_sha256	2d19553730af5ed88f37ecfe7bb40a0125e324cebaa5eef8e1230eb86bcfc597
# final_RelocationSelections_sha256	2d19553730af5ed88f37ecfe7bb40a0125e324cebaa5eef8e1230eb86bcfc597
# baseline_PlacementIdentity_sha256	fdd24217f8fe8f87b102cff8b4f515d110e3cb06c7925d7490fc62d80a40a20b
# final_PlacementIdentity_sha256	fdd24217f8fe8f87b102cff8b4f515d110e3cb06c7925d7490fc62d80a40a20b
# final_manifest_sha256	66c47dd73d00565102847bc7c8431afe1e7be5909d4a08510f6adc0fea8e1ffb
# comparison	tracked HEAD manifest versus exact scanner output from the current k-way merge working tree
# pairing_rule	pair identical branch ID/file/kind/method with changed exact subtree digest as MODIFIED_PREDICATE; then pair exact file/kind/method/digest in stable order as moved/renumbered; classify every remaining row by the owning implementation change
# modified_predicate_policy	a MODIFIED_PREDICATE pair requires identical branch identity and different exact scanner subtree digests
# total_removed	7
# total_added	26
# total_delta	33
# count	ADDED	R2_KWAY_CANONICAL_REFERENCE_MERGE	20
# count	ADDED	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	6
# count	REMOVED	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	6
# count	REMOVED	R2_REPLACED_CONCATENATE_THEN_CANONICALIZE	1
direction	id	file	line_start	line_end	kind	method	classification	counterpart_id	snippet_sha256
ADDED	BR-b82eb12c61b835c2	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1008	1009	IF	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	b65db184eee20a4254ff8c9bc2f5627c27dd397784b39c0792c0ff4cacb2ba62
ADDED	BR-244c993c1891d3e6	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1009	1009	RETURN	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	1bf1a9dbedcc115d086091a925c405e688aebd15c01a277940f94bec133b447b
ADDED	BR-9cc43e6fe784bb5a	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1011	1011	RETURN	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	690dda474ac7ff4bc61a73faf47c624f25905e07ec39e18f5164acaf6ac47a87
ADDED	BR-83751a880d2552d3	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1011	1011	TERNARY	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	9439c3595b6b57969cfd412b607890110f3c21823018a5c9e29046be83e60ad7
ADDED	BR-4aee9ec4ce185c67	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1013	1016	FOR	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	410df40a41c31f465d014cb9b9a630a2060b288c6b0ff905e9c3df1fdcf9f70f
ADDED	BR-16a1a8af479d6596	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1014	1016	IF	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	2be33ac54979765a85441d9be65229e56b8637fe4ff273387ab292613f68c257
ADDED	BR-5154ea89cb3a4e75	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1020	1033	WHILE	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	92e583fd1e45f353ad1d615b2e9d6ae561d031dc9f0f990f2057be3bb85415aa
ADDED	BR-73ad9bddd44030c6	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1023	1027	IF	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	a718edab2f12e5a363f33db32d3075de5bd873f11c302d6aae3db2383f6d097c
ADDED	BR-6c2d7179faf9b146	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1023	1023	SHORT_CIRCUIT	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	e292ff92446452d3fb68e6f82e9cb4ac7fb4e10bd0535be9c6267394cc366669
ADDED	BR-ca17ce911afbb593	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1030	1032	IF	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	333cb1c0ef4b740a70bb5cf768272ff25f633d0f07209e7feb79626375b0338b
ADDED	BR-f8b358845c5158ad	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1034	1034	RETURN	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	b29408f5dd22d81d1741cb93c700c8646c679ad134ad73199378ba8b7a19a025
ADDED	BR-338ed403373fb630	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1039	1039	RETURN	structuralReferenceKey	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	66b2ab15b39730155d716cdb8f12b3621b67ee2c704efe2136314d27d0b060b8
ADDED	BR-e726f18259d23256	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1039	1039	TERNARY	structuralReferenceKey	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	ebf08e87be48fb45a5d2a582236c52a6fbeb0f85f04e3915ac5b0de84ff4b7c3
