hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes,guardDefaultIfUnknown
219,test_cost.log,LiteralOp -1,136,CP,LOUT,none,NO_RULE,[],"[223, 235]",[],[],PUBLIC,[],[],<missing>
219,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
219,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
221,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
221,test_fedall.log,LiteralOp 1,138,CP,LOUT,none,NO_RULE,[],"[222, 234, 233, 255, 259]",[],[],null,[],[],<missing>
221,test_heuristic.log,LiteralOp 1,138,CP,LOUT,none,NO_RULE,[],"[222, 234, 233, 255, 259]",[],[],null,[],[],<missing>
223,test_cost.log,dg(rand),139,CP,LOUT,none,NO_RULE,"[216, 217, 218, 219, 286, 222]",[224],[],[],PUBLIC,"[null, null, null, null, null, null, null, null]",[],<missing>
223,test_fedall.log,b(cbind),140,FED,FOUT,ROW,OK,"[214, 222]","[224, 236]",[],[],null,"[ROW, null]",[],<missing>
223,test_heuristic.log,b(cbind),140,FED,FOUT,ROW,OK,"[214, 222]","[224, 236]",[],[],null,"[ROW, null]",[],<missing>
225,test_cost.log,ua(maxR),141,FED,FOUT,ROW,OK,[224],[237],[],[],PUBLIC,[ROW],[],<missing>
225,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
225,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
236,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
236,test_fedall.log,b(-),142,FED,FOUT,ROW,OK,"[223, 224]",[237],[],[],null,"[ROW, ROW]",[],<missing>
236,test_heuristic.log,b(-),142,FED,FOUT,ROW,OK,"[223, 224]",[237],[],[],null,"[ROW, ROW]",[],<missing>
237,test_cost.log,b(-),142,FED,FOUT,ROW,OK,"[224, 225]",[238],[],[],PUBLIC,"[ROW, ROW]",[REPR_CHANGE_GUARD_PASS:,allow]
237,test_fedall.log,u(exp),143,CP,LOUT,none,NO_RULE,[236],"[238, 250]",[],[],null,[ROW],[],<missing>
237,test_heuristic.log,u(exp),143,CP,LOUT,none,NO_RULE,[236],"[238, 250]",[],[],null,[ROW],[],<missing>
238,test_cost.log,u(exp),143,FED,FOUT,ROW,OK,[237],"[239, 251]",[],[],PUBLIC,[ROW],[REPR_CHANGE_GUARD_PASS:,allow]
238,test_fedall.log,ua(+R),144,CP,LOUT,none,NO_RULE,[237],[250],[],[],null,[null],[],<missing>
238,test_heuristic.log,ua(+R),144,CP,LOUT,none,NO_RULE,[237],[250],[],[],null,[null],[],<missing>
239,test_cost.log,ua(+R),144,FED,FOUT,ROW,OK,[238],[251],[],[],PUBLIC,[ROW],[],<missing>
239,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
239,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
250,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
250,test_fedall.log,b(/),145,CP,LOUT,none,NO_RULE,"[237, 238]",[255],[],[],null,"[null, null]",[],<missing>
250,test_heuristic.log,b(/),145,CP,LOUT,none,NO_RULE,"[237, 238]",[255],[],[],null,"[null, null]",[],<missing>
251,test_cost.log,b(/),145,FED,FOUT,ROW,OK,"[238, 239]",[256],[],[],PUBLIC,"[ROW, ROW]",[REPR_CHANGE_GUARD_PASS:,allow]
251,test_fedall.log,r(r'),131,FED,FOUT,COL,OK,[210],[261],[],[],null,[ROW],[],<missing>
251,test_heuristic.log,r(r'),131,FED,FOUT,COL,OK,[210],[261],[],[],null,[ROW],[],<missing>
252,test_cost.log,r(r'),131,FED,FOUT,COL,OK,[211],[262],[],[],PRIVATE_AGGREGATE,[ROW],[INFO: axis flipped ROW↔COL; REPR_CHANGE_GUARD_PASS:,allow]
252,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
252,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
255,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
255,test_fedall.log,rix,147,CP,LOUT,none,NO_RULE,"[250, 221, 285, 211]",[260],[],[],null,"[null, null, null, null, null]",[],<missing>
255,test_heuristic.log,rix,147,CP,LOUT,none,NO_RULE,"[250, 221, 285, 211]",[260],[],[],null,"[null, null, null, null, null]",[],<missing>
256,test_cost.log,rix,147,CP,LOUT,none,ARITY_MISMATCH,"[251, 222, 286, 212]",[261],[],[],PUBLIC,"[ROW, null, null, null, null]",[],<missing>
256,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
256,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
259,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
259,test_fedall.log,rix,149,CP,LOUT,none,NO_RULE,"[212, 221, 285, 211]",[260],[],[],null,"[null, null, null, null, null]",[],<missing>
259,test_heuristic.log,rix,149,CP,LOUT,none,NO_RULE,"[212, 221, 285, 211]",[260],[],[],null,"[null, null, null, null, null]",[],<missing>
261,test_cost.log,b(-),150,CP,LOUT,none,NO_FED_INPUT,"[256, 260]",[262],[],[],PUBLIC,"[null, null]",[],<missing>
261,test_fedall.log,ba(+*),151,FED,LOUT,none,OK,"[251, 260]",[263],[],[],null,"[COL, null]",[],<missing>
261,test_heuristic.log,ba(+*),151,FED,LOUT,none,OK,"[251, 260]",[263],[],[],null,"[COL, null]",[],<missing>
262,test_cost.log,ba(+*),151,FED,LOUT,none,OK,"[252, 261]",[264],[],[],PRIVATE_AGGREGATE_TO_PUBLIC,"[COL, null]",[],<missing>
262,test_fedall.log,b(*),153,CP,LOUT,none,NO_RULE,"[208, 209]",[263],[],[],null,"[null, null]",[],<missing>
262,test_heuristic.log,b(*),153,CP,LOUT,none,NO_RULE,"[208, 209]",[263],[],[],null,"[null, null]",[],<missing>
273,test_cost.log,LiteralOp text,162,CP,LOUT,none,NO_RULE,[],[276],[],[],PUBLIC,[],[],<missing>
