hop_id,type,operation,reason_code,description
475,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
476,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
477,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
480,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
491,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
495,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
499,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
503,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
504,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
524,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
566,ALLOWED_BUT_NULL,UnaryOp.castdts,UNARY_ALLOWED,Operation allowed but FType is NULL
566,ALLOWED_BUT_NULL,UnaryOp.castdts,SCALAR_HOP,Operation allowed but FType is NULL
566,ALLOWED_BUT_NULL,UnaryOp.castdts,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
567,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
568,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
571,ALLOWED_BUT_NULL,DataOp.TWrite,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
571,ALLOWED_BUT_NULL,DataOp.TWrite,SCALAR_HOP,Operation allowed but FType is NULL
571,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
572,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
574,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
611,ALLOWED_BUT_NULL,UnaryOp.castvti,UNARY_ALLOWED,Operation allowed but FType is NULL
611,ALLOWED_BUT_NULL,UnaryOp.castvti,SCALAR_HOP,Operation allowed but FType is NULL
611,ALLOWED_BUT_NULL,UnaryOp.castvti,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
632,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
644,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
647,ALLOWED_BUT_NULL,AggBinaryOp.AGGBINARY,AGGR_BINARY_MIXED_NULL,Operation allowed but FType is NULL
648,ALLOWED_BUT_NULL,BinaryOp.*,BINARY_MIXED_NULL,Operation allowed but FType is NULL
653,ALLOWED_BUT_NULL,BinaryOp.+,BINARY_MIXED_NULL,Operation allowed but FType is NULL
654,ALLOWED_BUT_NULL,AggUnaryOp.min,AGGR_UNARY_ALLOWED,Operation allowed but FType is NULL
655,ALLOWED_BUT_NULL,BinaryOp.<=,BINARY_SAME_FTYPE,Operation allowed but FType is NULL
656,ALLOWED_BUT_NULL,ReorgOp.r',UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
657,ALLOWED_BUT_NULL,UnaryOp.ucumk+,UNARY_ALLOWED,Operation allowed but FType is NULL
657,ALLOWED_BUT_NULL,UnaryOp.ucumk+,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
657,ALLOWED_BUT_NULL,UnaryOp.ucumk+,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
664,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
696,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
705,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
774,ALLOWED_BUT_NULL,FunctionOp.m_kmeans,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
774,ALLOWED_BUT_NULL,FunctionOp.m_kmeans,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
775,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
863,ALLOWED_BUT_NULL,UnaryOp.castdtm,UNARY_ALLOWED,Operation allowed but FType is NULL
863,ALLOWED_BUT_NULL,UnaryOp.castdtm,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
863,ALLOWED_BUT_NULL,UnaryOp.castdtm,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
865,ALLOWED_BUT_NULL,UnaryOp.castdts,UNARY_ALLOWED,Operation allowed but FType is NULL
865,ALLOWED_BUT_NULL,UnaryOp.castdts,SCALAR_HOP,Operation allowed but FType is NULL
865,ALLOWED_BUT_NULL,UnaryOp.castdts,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
871,ALLOWED_BUT_NULL,UnaryOp.castdts,UNARY_ALLOWED,Operation allowed but FType is NULL
871,ALLOWED_BUT_NULL,UnaryOp.castdts,SCALAR_HOP,Operation allowed but FType is NULL
871,ALLOWED_BUT_NULL,UnaryOp.castdts,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
879,ALLOWED_BUT_NULL,UnaryOp.castdts,UNARY_ALLOWED,Operation allowed but FType is NULL
879,ALLOWED_BUT_NULL,UnaryOp.castdts,SCALAR_HOP,Operation allowed but FType is NULL
879,ALLOWED_BUT_NULL,UnaryOp.castdts,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
881,ALLOWED_BUT_NULL,UnaryOp.castdts,UNARY_ALLOWED,Operation allowed but FType is NULL
881,ALLOWED_BUT_NULL,UnaryOp.castdts,SCALAR_HOP,Operation allowed but FType is NULL
881,ALLOWED_BUT_NULL,UnaryOp.castdts,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
888,ALLOWED_BUT_NULL,UnaryOp.castdts,UNARY_ALLOWED,Operation allowed but FType is NULL
888,ALLOWED_BUT_NULL,UnaryOp.castdts,SCALAR_HOP,Operation allowed but FType is NULL
888,ALLOWED_BUT_NULL,UnaryOp.castdts,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
921,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
966,ALLOWED_BUT_NULL,UnaryOp.ucumk+,UNARY_ALLOWED,Operation allowed but FType is NULL
966,ALLOWED_BUT_NULL,UnaryOp.ucumk+,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
966,ALLOWED_BUT_NULL,UnaryOp.ucumk+,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
986,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
