hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes,guardDefaultIfUnknown
722,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
722,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
724,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
724,test_fedall.log,LiteralOp 1.0,76,CP,LOUT,none,NO_RULE,[],"[723, 734]",[],[],null,[],[],<missing>
724,test_heuristic.log,LiteralOp 1.0,76,CP,LOUT,none,NO_RULE,[],"[723, 734]",[],[],null,[],[],<missing>
728,test_cost.log,LiteralOp -1,78,CP,LOUT,none,NO_RULE,[],"[724, 735]",[],[],PUBLIC,[],[],<missing>
728,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
728,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
730,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
730,test_fedall.log,ba(+*),90,FED,LOUT,none,OK,"[719, 542]",[716],[],[],null,"[COL, null]",[],<missing>
730,test_heuristic.log,ba(+*),90,FED,LOUT,none,OK,"[719, 542]",[716],[],[],null,"[COL, null]",[],<missing>
731,test_cost.log,ba(+*),90,FED,LOUT,none,OK,"[720, 543]",[717],[],[],PRIVATE_AGGREGATE_TO_PUBLIC,"[COL, null]",[],<missing>
731,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
731,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
732,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
732,test_fedall.log,LiteralOp 1.0E-7,77,CP,LOUT,none,NO_RULE,[],[734],[],[],null,[],[],<missing>
732,test_heuristic.log,LiteralOp 1.0E-7,77,CP,LOUT,none,NO_RULE,[],[734],[],[],null,[],[],<missing>
733,test_cost.log,LiteralOp 1.0E-7,76,CP,LOUT,none,NO_RULE,[],[735],[],[],PUBLIC,[],[],<missing>
733,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
733,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
734,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
734,test_fedall.log,dg(rand),81,CP,LOUT,none,NO_RULE,"[724, 732, 726, 727, 584, 725]",[721],[],[],null,"[null, null, null, null, null, null, null, null]",[],<missing>
734,test_heuristic.log,dg(rand),81,CP,LOUT,none,NO_RULE,"[724, 732, 726, 727, 584, 725]",[721],[],[],null,"[null, null, null, null, null, null, null, null]",[],<missing>
735,test_cost.log,dg(rand),80,CP,LOUT,none,NO_RULE,"[725, 733, 727, 728, 585, 726]",[722],[],[],PUBLIC,"[null, null, null, null, null, null, null, null]",[],<missing>
735,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
735,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
